symbol_x,symbol_y,corr,pvalue,beta,half_life_bars,selected
MIRAUSDT,WIFUSDT,0.9568347631335307,1.0382265209487226e-05,2.0984936556259535,11.099250459887399,True
ASTERUSDT,SOLUSDT,0.8622979309793981,5.306015078129768e-05,1.6369751255644207,15.871771150838063,True
MIRAUSDT,WLDUSDT,0.9417759550124848,0.00010802080046977961,1.201913011403722,15.172453039603761,False
AAVEUSDT,XRPUSDT,0.8280477267196504,0.00016942764530549468,0.5147760361141628,24.178966370393596,True
AAVEUSDT,LINKUSDT,0.8101487627277186,0.0002298391804753346,0.6683269155368926,32.20747297552971,False
AAVEUSDT,ZENUSDT,0.8869920948418581,0.00032780170822056055,0.8540813658461577,24.31113910268198,False
AAVEUSDT,BTCUSDT,0.7777692061537779,0.000333873328044712,0.6364803121801851,39.509082075593525,False
AAVEUSDT,SOLUSDT,0.8483639739445059,0.0006111207244656484,0.8120911149735891,30.877690897559283,False
ASTERUSDT,ZENUSDT,0.8186570953019439,0.0006350531656784476,1.562759495365846,22.08620759820487,False
ADAUSDT,SOLUSDT,0.9482160089610476,0.0006358075157072757,1.0452331187977104,18.73071268118261,False
AAVEUSDT,LTCUSDT,0.8339507624956354,0.0006832734454154239,0.5067255458192925,26.57922284110311,False
LINEAUSDT,SUSDT,0.8852379090145968,0.0009411108651593253,1.192158993298401,15.546596715699888,True
BNBUSDT,PENGUUSDT,0.9537698541767807,0.001000777427408688,1.6209569391144276,16.76049191178479,True
FLOKIUSDT,SUSDT,0.9290606893183373,0.0012551561758763759,1.1049469525700732,21.439944174374528,False
HBARUSDT,MIRAUSDT,0.8693807828330901,0.0013230305818741478,1.5606865801642424,21.26573966884279,False
ASTERUSDT,CAKEUSDT,0.8102681432076555,0.0013447487311816523,1.2030273863793575,25.21189149690914,False
EIGENUSDT,SOLUSDT,0.9261285947805725,0.0014015715317654426,0.8176124435637359,10.23259471244493,False
AAVEUSDT,EIGENUSDT,0.8108308126587651,0.001439771879560123,0.8735465961240616,17.995461775256835,False
PENGUUSDT,SUSDT,0.9517183935293406,0.0014982713177393349,0.9358736361122033,14.405186111851847,False
ADAUSDT,ONDOUSDT,0.9561177204817058,0.0015695066036733737,0.9919663612891549,19.03934281584756,False
ONDOUSDT,SOLUSDT,0.9655280102807041,0.0016236960010188937,1.0268362125995998,16.500473696892655,False
LINEAUSDT,PENGUUSDT,0.895684214643405,0.0018527554207360462,1.2285640178464472,14.969672876928366,False
LTCUSDT,SOLUSDT,0.9486444590739146,0.0022404916616666666,1.4932542768286219,19.29723675091224,False
BTCUSDT,DOGEUSDT,0.9038045594264245,0.002599403893057978,1.0873848528695484,35.040275231406675,False
LTCUSDT,PEPEUSDT,0.9163474596055811,0.003077229433317501,1.7330440931994133,17.440576062793212,False
LINEAUSDT,SUIUSDT,0.8737988037274196,0.0031793255695637245,1.3262989819113864,19.25415101800855,False
BTCUSDT,LINKUSDT,0.9783975322850188,0.0033005652183719625,0.9879222336848709,11.190521937140746,False
ASTERUSDT,BNBUSDT,0.7929391379150466,0.00332770985007191,1.0430066791200674,30.985371544927315,False
FLOKIUSDT,LINEAUSDT,0.886095916880138,0.004247162071233651,0.7857007004944712,12.521353405318775,False
ASTERUSDT,PENGUUSDT,0.7786764311499415,0.004505659222595886,1.7390836531387908,29.38726472548713,False
DOTUSDT,WLFIUSDT,0.810601268102387,0.004688283316391188,1.2480278543027585,23.074840660073495,False
FLOKIUSDT,SUIUSDT,0.9536359005257087,0.004944787695552825,1.2821614512450135,23.377237907136504,False
AVAXUSDT,SUIUSDT,0.9652232639598508,0.005777856698397393,1.2283851215799435,19.942415322633188,False
ASTERUSDT,LINKUSDT,0.8450628154645372,0.005794440419615864,1.3873631099022603,18.617433824204543,False
ASTERUSDT,EIGENUSDT,0.7859996095352636,0.005800812099022365,1.6903086833103622,16.210462576804943,False
ASTERUSDT,LTCUSDT,0.7960955095415433,0.005892957050223001,0.9604974961938553,22.967039446380795,False
AAVEUSDT,BONKUSDT,0.8488197292663894,0.0064330565833713126,0.8717484047862492,33.54160430602748,False
ADAUSDT,BTCUSDT,0.8866245403677651,0.006546677802344864,0.8352191528063511,34.269398028809796,False
ADAUSDT,EIGENUSDT,0.8983918754304302,0.0066894008527509504,1.1206801517438938,12.631112844006914,False
LINEAUSDT,SHIBUSDT,0.8299540283025477,0.007078074677490697,1.1534110063111784,20.350157621392494,False
ASTERUSDT,ONDOUSDT,0.8072853370375777,0.007209865087472659,1.4443287721602804,23.745813716777388,False
LINEAUSDT,XLMUSDT,0.8601492021135008,0.008177971500625755,0.9644515178069897,18.25912814254974,False
ASTERUSDT,ZECUSDT,0.7718309136921636,0.008641734852856237,2.654582231472725,27.38410437053758,False
ASTERUSDT,BTCUSDT,0.8290584988466835,0.008723882381514494,1.3464837360191513,22.62960259115821,False
EIGENUSDT,LTCUSDT,0.9212019473202642,0.008834420041037096,0.5148597889234486,10.986856829082157,False
AAVEUSDT,ADAUSDT,0.8952304801391742,0.009199017818851187,0.7784259361755471,27.80935895281616,False
HBARUSDT,WLDUSDT,0.9233506571126651,0.009586838094085321,2.104858919519819,24.432234432103286,False
FETUSDT,SHIBUSDT,0.851356470077968,0.009710763037550864,0.532324367002489,41.62950510191677,False
ADAUSDT,BONKUSDT,0.9616010517933764,0.009856444082577435,1.1380849994438302,15.082850973956802,False
BONKUSDT,SOLUSDT,0.9629059224408139,0.010394776351577182,0.8973183417394347,14.543385453967808,False
HBARUSDT,SEIUSDT,0.9111325360653274,0.011730783797434792,1.335816889273415,21.499325442663366,False
AAVEUSDT,HBARUSDT,0.8175601362502404,0.011835144455403533,0.6251587129639957,35.77191031065101,False
SOLUSDT,XRPUSDT,0.9413779149607251,0.012683320363758924,0.6105628980640924,22.781518753482928,False
AAVEUSDT,UNIUSDT,0.7822921465661015,0.01276090573386342,0.5945379269690211,35.109826495011326,False
DOTUSDT,ZECUSDT,0.7700123687993843,0.013076404379034574,2.2533808955893053,30.656001100965376,False
BTCUSDT,XRPUSDT,0.9617404215391684,0.013164039801192094,0.728886794282004,13.43353163552506,False
BONKUSDT,UNIUSDT,0.9430615723805429,0.013171634445755614,0.7004663791000548,14.971486349344747,False
CAKEUSDT,PENGUUSDT,0.9456910533599717,0.01339656775279106,1.4238095036219214,20.52710329832248,False
BNBUSDT,LINEAUSDT,0.8658457629164343,0.01375850197442429,1.0787240398408617,12.55075320130626,False
LINKUSDT,SOLUSDT,0.9620714009257262,0.013828642560575496,1.112595690106816,21.702098412311148,False
LTCUSDT,ZENUSDT,0.9421730107523163,0.014321283826469248,1.4936606097594856,19.971824388452443,False
AAVEUSDT,ARBUSDT,0.8574561801199428,0.014362638847224,0.7677003348885967,30.777044223167938,False
MIRAUSDT,SOMIUSDT,0.8842095472878996,0.01464746375633237,0.5705872751120881,16.622112680033396,False
FORMUSDT,POLUSDT,0.8125719715036664,0.015269511437190747,0.2674888320778039,19.522720303700563,False
DOTUSDT,PENDLEUSDT,0.8171439459216886,0.016180194993840324,1.3486838693043615,31.067296802022117,False
DOTUSDT,SOLUSDT,0.8131681835671297,0.01630623807818243,1.30372974370487,32.27805605213541,False
LINEAUSDT,PUMPUSDT,0.8306664416717909,0.01653677649994766,1.2571181968343097,23.73822983743619,False
XRPUSDT,ZECUSDT,0.8322714332166423,0.016704843649136797,2.306168123791015,48.199968251730745,False
BMTUSDT,SUSDT,0.8730203379729186,0.01677836314912771,0.9997636865469297,18.10314567044184,False
DOTUSDT,VIRTUALUSDT,0.7768529648025067,0.01680676638629746,2.037887671305707,36.859021887792906,False
DOTUSDT,EIGENUSDT,0.8208913068679794,0.01693450659228956,1.4932166635181179,16.554402542197238,False
HBARUSDT,SOMIUSDT,0.8306237050108191,0.017514293446221327,0.9624580096084592,25.036283895794337,False
SOLUSDT,UNIUSDT,0.9315176431315141,0.017604172523741274,0.742870784190642,20.88011546315999,False
ENAUSDT,LTCUSDT,0.9102342757613936,0.017803500826550765,0.3186051242568172,19.124130558469265,False
DOGEUSDT,ETHUSDT,0.9181952489789335,0.01810399711968302,0.8379995662127825,30.917125604573336,False
ARBUSDT,ENAUSDT,0.930088835671261,0.019669662981075302,1.8027140942968478,20.449713132620833,False
DOGEUSDT,PUMPUSDT,0.8222639249503912,0.02068205936809748,1.0490436683402786,36.856082211703566,False
ADAUSDT,LINKUSDT,0.903624872160877,0.021624292054578942,0.8599335310235371,31.243052066580937,False
DOTUSDT,UNIUSDT,0.8683448437019825,0.02182524369131801,1.1045948103888443,26.304344969502576,False
AAVEUSDT,ENAUSDT,0.8774907175446348,0.022019381547301087,1.5199801471759264,41.831596316156784,False
CAKEUSDT,DOGEUSDT,0.8587954744598787,0.022598848492515394,1.135441468270213,47.39983432513971,False
CAKEUSDT,LINEAUSDT,0.8544938090656038,0.02287061845536989,0.9440717390616508,13.929566443441008,False
ASTERUSDT,UNIUSDT,0.8187754691794873,0.024367105531457146,1.2384393953688357,18.25769200499705,False
BTCUSDT,ETHUSDT,0.9789424733526285,0.02454431868279532,1.06821177319052,19.72756087628604,False
FLOKIUSDT,PUMPUSDT,0.9149964778957719,0.02650015713293615,1.2282792180493367,22.59716392916034,False
1000CHEEMSUSDT,DOTUSDT,0.7555513817676721,0.026584008061368663,0.23179294154536229,13.878078261810677,False
EIGENUSDT,WLFIUSDT,0.8055170068850822,0.028426928378838152,0.6867361754395587,20.6889890958685,False
AVAXUSDT,SHIBUSDT,0.9394197244999922,0.028487301093434746,1.0923153274756507,20.433213287794434,False
AAVEUSDT,PEPEUSDT,0.8514064516830587,0.028937173580537,0.983919496405725,28.582346561901296,False
