open_time,equity,benchmark_btc,drawdown,positions,portfolio_return
2026-02-18 10:45:00+00:00,1.0,1.0,0.0,0.0,0.0
2026-02-18 11:00:00+00:00,1.0,1.0,0.0,0.0,0.0
2026-02-18 11:15:00+00:00,1.0,1.0,0.0,0.0,0.0
2026-02-18 11:30:00+00:00,1.0,1.0,0.0,0.0,0.0
2026-02-18 11:45:00+00:00,1.0,0.9972796384259472,0.0,0.0,0.0
2026-02-18 12:00:00+00:00,1.0,1.0005804286734428,0.0,0.0,0.0
2026-02-18 12:15:00+00:00,1.0,1.0002337405956045,0.0,0.0,0.0
2026-02-18 12:30:00+00:00,1.0,0.9999062965186712,0.0,0.0,0.0
2026-02-18 12:45:00+00:00,1.0,0.9985868982104854,0.0,0.0,0.0
2026-02-18 13:00:00+00:00,1.0,0.9997550090654046,0.0,3.0,0.0
2026-02-18 13:15:00+00:00,1.0006576883458653,0.9989143422874187,0.0,2.0,0.0006576883458652519
2026-02-18 13:30:00+00:00,0.9957063225048407,0.9960671183381707,-0.004948111525740151,2.0,-0.004948111525740206
2026-02-18 13:45:00+00:00,0.9911059930894185,0.9953127535027041,-0.009545417346701446,3.0,-0.004620166922159774
2026-02-18 14:00:00+00:00,0.9901870354097461,0.9959547629790422,-0.010463771035855163,3.0,-0.0009272042405958172
2026-02-18 14:15:00+00:00,0.9894965284115523,0.993079413182318,-0.011153824194128692,3.0,-0.0006973500697350365
2026-02-18 14:30:00+00:00,0.991641005660147,0.9939477617154514,-0.009010756416235943,3.0,0.0021672408007709087
2026-02-18 14:45:00+00:00,0.9967856644262505,0.995118537124342,-0.0038694790083664277,1.0,0.005188025441403102
2026-02-18 15:00:00+00:00,0.9967856644262505,0.9972800825182756,-0.0038694790083664277,4.0,0.0
2026-02-18 15:15:00+00:00,0.9985471270136204,0.9965560639919279,-0.0021091741529851715,0.0,0.0017671427772628368
2026-02-18 15:30:00+00:00,0.9985471270136204,1.0082316954024009,-0.0021091741529851715,1.0,0.0
2026-02-18 15:45:00+00:00,0.993613212637885,1.0020796843747,-0.007039845683517565,0.0,-0.004941093156505594
2026-02-18 16:00:00+00:00,0.993613212637885,0.9928721700956513,-0.007039845683517565,0.0,0.0
2026-02-18 16:15:00+00:00,0.993613212637885,0.9955965285006614,-0.007039845683517565,0.0,0.0
2026-02-18 16:30:00+00:00,0.993613212637885,0.995223194883109,-0.007039845683517565,0.0,0.0
2026-02-18 16:45:00+00:00,0.993613212637885,0.9939576797774563,-0.007039845683517565,1.0,0.0
2026-02-18 17:00:00+00:00,0.9954592854925789,0.9930496589963038,-0.005194986171424554,2.0,0.001857939116764351
2026-02-18 17:15:00+00:00,0.9923312145109447,0.9939026123287134,-0.00832100120939927,5.0,-0.0031423394479527245
2026-02-18 17:30:00+00:00,0.9909138297877957,0.9932376580820658,-0.00973745434782658,5.0,-0.0014283383435112153
2026-02-18 17:45:00+00:00,0.9901428477399569,0.9945801491913373,-0.010507929663029936,2.0,-0.0007780515567171077
2026-02-18 18:00:00+00:00,0.989382324410805,0.9935978169605372,-0.011267953133602626,2.0,-0.000768094554121912
2026-02-18 18:15:00+00:00,0.9847565231861196,0.9900655065790798,-0.01589071402232578,2.0,-0.004675443567723092
2026-02-18 18:30:00+00:00,0.9779423113810143,0.982070216326255,-0.022700447145317604,3.0,-0.0069196919691969505
2026-02-18 18:45:00+00:00,0.9756356829517149,0.982332082769336,-0.025005559529066357,3.0,-0.0023586549047479957
2026-02-18 19:00:00+00:00,0.97632033957133,0.9825083874237788,-0.024321352904174587,3.0,0.000701754385964944
2026-02-18 19:15:00+00:00,0.9695554725841757,0.9810664196329073,-0.03108177364139686,3.0,-0.006928941980379633
